"id","title","description","state","product","parent_id","parent_ids","collection_id","tags","author_id","created_at","updated_at","url","tiene_descripcion","es_draft","potencialmente_obsoleto"
"15485406","Cómo habilitar la prima de servicios en valor negativo en Loggro Nómina","Aprende a habilitar la prima de servicios negativa en Loggro Nómina, paso a paso, para empleados o toda la empresa.","published","Nomina","","[18914324]","18914324","[]","9829033","1781300626","1782479755","https://universidad-nomina.loggro.com/es/articles/15485406-como-habilitar-la-prima-de-servicios-en-valor-negativo-en-loggro-nomina","True","False","False"
"14020323","Configuración del plan de cuentas sin ERP Pymes: campos de saldo opcionales","Aprende a configurar el plan de cuentas en Loggro Nómina sin ERP Pymes: marca los campos Tercero, Centro, Documento y Concepto como opcionales.","published","Nomina","","[18914324]","18914324","[]","9829033","1773158787","1782478305","https://universidad-nomina.loggro.com/es/articles/14020323-configuracion-del-plan-de-cuentas-sin-erp-pymes-campos-de-saldo-opcionales","True","False","False"
"14020168","Definición contable - Asignación de cuentas","","published","Nomina","","[18914324]","18914324","[]","9829033","1773157549","1782478271","https://universidad-nomina.loggro.com/es/articles/14020168-definicion-contable-asignacion-de-cuentas","False","False","False"
"14019823","Listado de comprobantes contable","","draft","Nomina","","[18914324]","18914324","[]","9829033","1773154688","1782478229","","False","True","False"
"14062149","Cómo instalar y configurar la Comanda Automática en Restobar en Mac","Guía paso a paso para instalar y configurar la comanda automática en Restobar desde Mac.","published","Restobar","","[16748702]","16748702","[]","9829033","1773427971","1782425627","https://universidad-restobar.loggro.com/es/articles/14062149-como-instalar-y-configurar-la-comanda-automatica-en-restobar-en-mac","True","False","False"
"13906052","Cómo instalar y configurar la Comanda Automática en Restobar en Windows","Cómo instalar y configurar la comanda automática en Restobar en Windows paso a paso.","published","Restobar","","[16748702]","16748702","[]","9829033","1772462061","1782423331","https://universidad-restobar.loggro.com/es/articles/13906052-como-instalar-y-configurar-la-comanda-automatica-en-restobar-en-windows","True","False","False"
"15635145","Cómo crear nuevos establecimientos de Alojamientos desde Loggro Admin","Aprende a crear un nuevo establecimiento de Alojamientos desde Loggro Admin y configurar plan.","published","Alojamientos","","[19361552]","19361552","[]","9829033","1782332123","1782394483","https://universidad-alojamientos.loggro.com/es/articles/15635145-como-crear-nuevos-establecimientos-de-alojamientos-desde-loggro-admin","True","False","False"
"15545000","Eliminación Acumulados Iniciales Importados","","draft","Nomina","","[16582902]","16582902","[]","9829033","1781724773","1781737574","","False","True","False"
"15070483","Módulo de Reservas: Guía Completa para Gestionar tu Restaurante","Módulo de Reservas: guía completa para gestionar reservas anticipadas, walk-ins, lista de espera y estadísticas de tu negocio.","published","Restobar","","[19633050]","19633050","[]","9829033","1778593465","1781702527","https://universidad-restobar.loggro.com/es/articles/15070483-modulo-de-reservas-guia-completa-para-gestionar-tu-restaurante","True","False","False"
"15518939","Pagar el Día 31 en Vacaciones Disfrutadas en Nómina de Días Comerciales","¿El día 31 no se paga en vacaciones? Activa esta opción en tu nómina comercial de Loggro fácilmente.","draft","Nomina","","[18914324]","18914324","[]","9829033","1781617683","1781628492","","True","True","False"
"15366360","Página de Estado de Loggro: Cómo Consultar la Disponibilidad de los Servicios y Suscribirte a Alertas","Consulta el estado de los servicios de Loggro en tiempo real y recibe alertas automáticas de incidentes y mantenimientos.","published","Pymes","","[16589252]","16589252","[]","9829033","1780517367","1781275970","https://universidad-pymes.loggro.com/es/articles/15366360-pagina-de-estado-de-loggro-como-consultar-la-disponibilidad-de-los-servicios-y-suscribirte-a-alertas","True","False","False"
"15465921","Cómo Eliminar el Histórico de Contratos Importados en Loggro Nómina","","draft","Nomina","","[16586458]","16586458","[]","9829033","1781213228","1781275887","","False","True","False"
"15462173","Cómo importar el histórico de contratos de un empleado en Loggro Nómina","Importa el histórico de contratos en Loggro Nómina con plantilla. Guía completa paso a paso.","draft","Nomina","","[16586458]","16586458","[]","9829033","1781194440","1781213011","","True","True","False"
"15452287","Lo Nuevo Nomina - Junio 2026: Cómo configurar el cálculo de prima de servicios con auxilio de transporte","Configura el cálculo de prima de servicios con auxilio de transporte en Loggro Nómina. Evita ajustes manuales fácilmente.","published","Nomina","","[16582944]","16582944","[]","9829033","1781117558","1781185217","https://universidad-nomina.loggro.com/es/articles/15452287-lo-nuevo-nomina-junio-2026-como-configurar-el-calculo-de-prima-de-servicios-con-auxilio-de-transporte","True","False","False"
"12815305","Cómo configurar los parámetros de la organización","Configura correctamente los parámetros de tu organización y asegura una liquidación de nómina precisa.","published","Nomina","16582950","[16582950]","16582950","[]","9829033","1762910540","1781182697","https://universidad-nomina.loggro.com/es/articles/12815305-como-configurar-los-parametros-de-la-organizacion","True","False","False"
"15346198","Novedades Loggro - Junio 2026","Nueva función Loggro: aplica pagos de terceros a facturas de otros clientes sin crear anticipos.","published","Pymes","","[16589078]","16589078","[]","9829033","1780408584","1781108819","https://universidad-pymes.loggro.com/es/articles/15346198-novedades-loggro-junio-2026","True","False","False"
"15330076","Cómo aplicar un pago a Facturas de otros clientes desde un Ingreso","¿Un solo pago para varias facturas de distintos clientes? 
Descubre cómo gestionarlo desde un ingreso.","published","Pymes","","[16589085]","16589085","[]","9829033","1780339463","1781108770","https://universidad-pymes.loggro.com/es/articles/15330076-como-aplicar-un-pago-a-facturas-de-otros-clientes-desde-un-ingreso","True","False","False"
"12880998","Cómo crear un pedido de consumo interno en Restobar","Aprende paso a paso cómo crear y registrar pedidos de consumo interno desde el módulo Vender del sistema.","published","Restobar","16748913","[16748913]","16748913","[]","9829033","1763561896","1780673708","https://universidad-restobar.loggro.com/es/articles/12880998-como-crear-un-pedido-de-consumo-interno-en-restobar","True","False","False"
"12815334","Portal de Empleados con la Nómina de Loggro","El Portal de Empleados de Loggro Nómina permite que tu equipo consulte y autogestione su información laboral de forma rápida, segura y sin depender del área administrativa.","published","Nomina","16582958","[16582958]","16582958","[]","9829033","1762910748","1780612609","https://universidad-nomina.loggro.com/es/articles/12815334-portal-de-empleados-con-la-nomina-de-loggro","True","False","False"
"15362978","Lo Nuevo de Restobar - Junio 2026","¿Tu negocio no tiene mesas? Ahora puedes crear pedidos de cortesía y consumos internos directamente desde venta directa.","draft","Restobar","","[16747584]","16747584","[]","9829033","1780503190","1780609575","","True","True","False"
"12880767","Cómo crear un pedido de cortesía en Restobar","Aprende paso a paso cómo crear un pedido de cortesía en Restobar, tanto para establecimientos con mesas como para puntos de venta directa.","published","Restobar","16748913","[16748913]","16748913","[]","9829033","1763561357","1780608520","https://universidad-restobar.loggro.com/es/articles/12880767-como-crear-un-pedido-de-cortesia-en-restobar","True","False","False"
"15351936","Lo Nuevo de Restobar - Mayo 2026","Descubre las novedades de Loggro Restobar en mayo 2026: carga productos con IA y gestiona inventario masivamente.","published","Restobar","","[16747584]","16747584","[]","9829033","1780438440","1780513705","https://universidad-restobar.loggro.com/es/articles/15351936-lo-nuevo-de-restobar-mayo-2026","True","False","False"
"15351992","Novedades Loggro Mayo 2026: Datos de entrega en Pedidos y Remisiones","Registra datos de entrega en Pedidos y Remisiones para optimizar tu logística y trazabilidad con la nueva actualización.","published","Pymes","","[16589078]","16589078","[]","9829033","1780439310","1780440129","https://universidad-pymes.loggro.com/es/articles/15351992-novedades-loggro-mayo-2026-datos-de-entrega-en-pedidos-y-remisiones","True","False","False"
"15351544","Lo Nuevo de Restobar - Marzo 2026","Novedades Restobar marzo 2026: Comanda Automática y nueva integración de costo de lo vendido con Loggro Pymes.","published","Restobar","","[16747584]","16747584","[]","9829033","1780433776","1780438997","https://universidad-restobar.loggro.com/es/articles/15351544-lo-nuevo-de-restobar-marzo-2026","True","False","False"
"15351732","Novedades Loggro Marzo 2026: Proveedores ficticios","Loggro ahora valida si un proveedor está en la lista de ficticios de la DIAN.","published","Pymes","","[16589078]","16589078","[]","9829033","1780436142","1780437652","https://universidad-pymes.loggro.com/es/articles/15351732-novedades-loggro-marzo-2026-proveedores-ficticios","True","False","False"
"15348174","Novedades Loggro Febrero 2026","Conoce las novedades de Loggro: Manejo APIs y Actualización Formatos Exogena.","published","Pymes","","[16589078]","16589078","[]","9829033","1780414524","1780432312","https://universidad-pymes.loggro.com/es/articles/15348174-novedades-loggro-febrero-2026","True","False","False"
"15214506","Cómo cargar productos desde una foto de menú o archivo PDF","Importa productos desde fotos o PDF con IA en minutos. Guía paso a paso para agilizar tu configuración inicial.","published","Restobar","","[16748962]","16748962","[]","9829033","1779382153","1779916806","https://universidad-restobar.loggro.com/es/articles/15214506-como-cargar-productos-desde-una-foto-de-menu-o-archivo-pdf","True","False","False"
"12883247","Cómo suscribir otro negocio en POS Tienda sin compartir los clientes","Desde tu negocio en POS Tienda tienes la posibilidad de suscribir otro(s), donde tu usuario será administrador y no se compartan los clientes del negocio principal.","published","Desconocido","16749239","[16749239]","16749239","[]","9829033","1763568685","1779821202","https://universidad-postienda.loggro.com/es/articles/12883247-como-suscribir-otro-negocio-en-pos-tienda-sin-compartir-los-clientes","True","False","False"
"12883309","Cómo suscribir un nuevo negocio en POS Tienda y compartir clientes","Desde tu negocio en POS Tienda tienes la posibilidad de suscribir otro(s), donde tu usuario será administrador y permitir que este compara los clientes del negocio principal.","published","Desconocido","16749239","[16749239]","16749239","[]","9829033","1763569037","1779744331","https://universidad-postienda.loggro.com/es/articles/12883309-como-suscribir-un-nuevo-negocio-en-pos-tienda-y-compartir-clientes","True","False","False"
"12924136","Cómo crear un producto en el sistema POS Tienda","Guía completa para registrar productos en POS Tienda: configura precios, impuestos y stock fácilmente.","published","Desconocido","","[16749238]","16749238","[]","9829033","1764025093","1779480512","https://universidad-postienda.loggro.com/es/articles/12924136-como-crear-un-producto-en-el-sistema-pos-tienda","True","False","False"
"12922318","Cómo crear un combo en el sistema POS Tienda","Aprende a crear combos en POS Tienda: agrupa productos, configura precios y tipos de selección paso a paso.","published","Desconocido","","[16749238]","16749238","[]","9829033","1764014882","1779467957","https://universidad-postienda.loggro.com/es/articles/12922318-como-crear-un-combo-en-el-sistema-pos-tienda","True","False","False"
"12816600","Pedidos y Remisiones: guía paso a paso para crear, gestionar y facturar correctamente","Guía práctica para crear, gestionar y facturar Pedidos y Remisiones, controlando inventario y ventas de forma correcta.","published","Pymes","16589085","[16589085]","16589085","[]","9829033","1762916305","1779390788","https://universidad-pymes.loggro.com/es/articles/12816600-pedidos-y-remisiones-guia-paso-a-paso-para-crear-gestionar-y-facturar-correctamente","True","False","False"
"12922306","Cómo crear productos de forma masiva en Loggro POS Tienda","Importa múltiples productos a Loggro POS Tienda en minutos con una plantilla Excel. Guía paso a paso.","published","Desconocido","","[16749238]","16749238","[]","9829033","1764014710","1779324953","https://universidad-postienda.loggro.com/es/articles/12922306-como-crear-productos-de-forma-masiva-en-loggro-pos-tienda","True","False","False"
"12883348","Cómo aplicar configuraciones avanzadas a tus productos en Loggro POS Tienda","Aprende a configurar impuestos, precios y promociones por categoría en Loggro POS Tienda paso a paso.","published","Desconocido","16749238","[16749238]","16749238","[]","9829033","1763569245","1779323752","https://universidad-postienda.loggro.com/es/articles/12883348-como-aplicar-configuraciones-avanzadas-a-tus-productos-en-loggro-pos-tienda","True","False","False"
"12883334","Cómo llevar tu inventario a cero en POS Tienda","Aprende a llevar tu inventario a cero en POS Tienda con esta guía paso a paso, rápida y sin errores.","published","Desconocido","16749238","[16749238]","16749238","[]","9829033","1763569162","1779314468","https://universidad-postienda.loggro.com/es/articles/12883334-como-llevar-tu-inventario-a-cero-en-pos-tienda","True","False","False"
"12883332","Cómo Gestionar Proveedores en Loggro POS Tienda: Crear, Editar y Eliminar","Gestiona tus proveedores en Loggro POS Tienda: regístralos, actualízalos o elimínalos fácilmente.","published","Desconocido","16749238","[16749238]","16749238","[]","9829033","1763569147","1779313781","https://universidad-postienda.loggro.com/es/articles/12883332-como-gestionar-proveedores-en-loggro-pos-tienda-crear-editar-y-eliminar","True","False","False"
"12883330","Cómo Crear, Editar y Eliminar Categorías de Productos en Loggro","Aprende a crear, editar y eliminar categorías de productos en Loggro para organizar tu inventario de forma rápida y sencilla.","published","Desconocido","16749238","[16749238]","16749238","[]","9829033","1763569136","1779311766","https://universidad-postienda.loggro.com/es/articles/12883330-como-crear-editar-y-eliminar-categorias-de-productos-en-loggro","True","False","False"
"12883321","Cómo Editar o Eliminar una Promoción en POS Tienda","Aprende a editar o eliminar promociones en POS Tienda paso a paso. Gestiona tus promociones de forma rápida y sencilla.","published","Desconocido","16749238","[16749238]","16749238","[]","9829033","1763569098","1779311341","https://universidad-postienda.loggro.com/es/articles/12883321-como-editar-o-eliminar-una-promocion-en-pos-tienda","True","False","False"
"12883317","Cómo eliminar productos en POS Tienda","Aprende a eliminar uno o varios productos del sistema de forma segura. Esta guía cubre la eliminación individual y la eliminación masiva.","published","Desconocido","16749238","[16749238]","16749238","[]","9829033","1763569084","1779307699","https://universidad-postienda.loggro.com/es/articles/12883317-como-eliminar-productos-en-pos-tienda","True","False","False"
"12883320","Cómo consultar el historial de movimientos de inventario en POS Tienda","Consulta el historial de inventario en POS Tienda: filtra por producto, tipo de movimiento y exporta a Excel.","published","Desconocido","16749238","[16749238]","16749238","[]","9829033","1763569091","1779307630","https://universidad-postienda.loggro.com/es/articles/12883320-como-consultar-el-historial-de-movimientos-de-inventario-en-pos-tienda","True","False","False"
"15193183","Cómo contratar horas de acompañamiento, capacitación y soporte personalizado en Loggro","Compra horas de soporte y capacitación personalizada en Loggro fácil y rápido desde Mis Planes y Pagos.","published","Nomina","","[16586484]","16586484","[]","9829033","1779293650","1779302006","https://universidad-nomina.loggro.com/es/articles/15193183-como-contratar-horas-de-acompanamiento-capacitacion-y-soporte-personalizado-en-loggro","True","False","False"
"12815226","Cómo configurar las horas laborales mensuales en tu compañía en Loggro","Configura las horas laborales mensuales en Loggro y calcula correctamente el valor hora de nómina.","published","Nomina","16586484","[16586484]","16586484","[]","9829033","1762910013","1779293626","https://universidad-nomina.loggro.com/es/articles/12815226-como-configurar-las-horas-laborales-mensuales-en-tu-compania-en-loggro","True","False","False"
"12883304","Cómo crear y gestionar productos con variantes en Loggro POS Tienda","Aprende a crear, editar y gestiona variantes de productos en Loggro POS Tienda: tallas, colores, precios y más.","published","Desconocido","16749238","[16749238]","16749238","[]","9829033","1763569007","1779228039","https://universidad-postienda.loggro.com/es/articles/12883304-como-crear-y-gestionar-productos-con-variantes-en-loggro-pos-tienda","True","False","False"
"12883287","Cómo hacer un ajuste de inventario: guía paso a paso","Aprende a registrar ajustes de inventario en pocos pasos: entradas, salidas y confirmación de cambios en tu sistema.","published","Desconocido","16749238","[16749238]","16749238","[]","9829033","1763568884","1779225642","https://universidad-postienda.loggro.com/es/articles/12883287-como-hacer-un-ajuste-de-inventario-guia-paso-a-paso","True","False","False"
"12883233","Cómo registrar una compra de inventario en POS Tienda","Controla tus existencias con precisión: guía completa para ingresar compras de inventario en POS Tienda.","published","Desconocido","16749238","[16749238]","16749238","[]","9829033","1763568617","1779220912","https://universidad-postienda.loggro.com/es/articles/12883233-como-registrar-una-compra-de-inventario-en-pos-tienda","True","False","False"
"12883245","Cómo crear y aplicar promociones en POS Tienda","Aprende a crear y aplicar promociones en POS Tienda: configura descuentos por porcentaje o cantidad en pocos pasos.","published","Desconocido","16749238","[16749238]","16749238","[]","9829033","1763568674","1779220800","https://universidad-postienda.loggro.com/es/articles/12883245-como-crear-y-aplicar-promociones-en-pos-tienda","True","False","False"
"12883227","Cómo crear proveedores de forma masiva mediante importación","Aprende a registrar múltiples proveedores a la vez con nuestra plantilla Excel. Guía paso a paso, rápida y sin complicaciones.","published","Desconocido","16749238","[16749238]","16749238","[]","9829033","1763568594","1779215505","https://universidad-postienda.loggro.com/es/articles/12883227-como-crear-proveedores-de-forma-masiva-mediante-importacion","True","False","False"
"12883352","Cómo ver el informe de inventario en el cuadre de caja","Aprende a consultar, imprimir y exportar el detalle de inventario asociado a cada cuadre de caja, paso a paso.","published","Desconocido","16749237","[16749237]","16749237","[]","9829033","1763569265","1779209939","https://universidad-postienda.loggro.com/es/articles/12883352-como-ver-el-informe-de-inventario-en-el-cuadre-de-caja","True","False","False"
"12883344","Cómo eliminar cuadres de caja en POS Tienda: Guía paso a paso","Aprende a eliminar cuadres de caja en POS Tienda de forma segura, paso a paso, sin perder información importante.","published","Desconocido","16749237","[16749237]","16749237","[]","9829033","1763569212","1779204619","https://universidad-postienda.loggro.com/es/articles/12883344-como-eliminar-cuadres-de-caja-en-pos-tienda-guia-paso-a-paso","True","False","False"
"12883324","Cómo visualizar e imprimir el comprobante diario de caja","¿Cómo imprimir el comprobante diario de caja? Sigue estos pasos desde Ventas → Cuadre de caja.","published","Desconocido","16749237","[16749237]","16749237","[]","9829033","1763569109","1778882365","https://universidad-postienda.loggro.com/es/articles/12883324-como-visualizar-e-imprimir-el-comprobante-diario-de-caja","True","False","False"
"12883326","Cómo anular una factura de venta en POS Tienda","Aprende a anular una factura de venta en POS Tienda paso a paso, de forma rápida y sin errores.","published","Desconocido","16749237","[16749237]","16749237","[]","9829033","1763569115","1778882321","https://universidad-postienda.loggro.com/es/articles/12883326-como-anular-una-factura-de-venta-en-pos-tienda","True","False","False"
